category,real_name,alias,title,affiliation,citizenship,date_of_birth,date_of_death,species,gender,status,clearance,comic,game,movie,one_shot,portrayed_by,ser_no,tv_series,voiced_by,web_series
Hero,David Linus Lieberman,"Micro, Crime-Scene Junkie, Spook, Anonymous Source, Guidance System, Geek Friend",NA,Rising Tide (formerly) NSA (formerly),American,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Ebon Moss-Bachrach,NA,Agents of S.H.I.E.L.D. (mentioned)Daredevil (mentioned)The Punisher (12 episodes),NA,NA
Villain,Michael Peterson,"Mike Peterson, Mikey, The Hooded Hero, Deathlok, Ticking Time Bomb, Backup, Raging Homicidal Maniac, The Clairvoyant's Super-Soldier Bodyguard, Cyber-Soldier, Bogotá Assassin, The Guy with the Parts, Monster, Cyborg with Rockets in his Arm, S.H.I.E.L.D. Agent with Rockets in His Arm, Perfect Killing Machine",Agent of S.H.I.E.L.D.,"HYDRA (formerly, under coercion)Centipede Project (formerly, under coercion) S.H.I.E.L.D. (formerly)",American,"August 28, 1979",NA,Human (Cyborg),Male,Alive,NA,NA,NA,NA,NA,J. August Richards,NA,Agents of S.H.I.E.L.D. (12 episodes),NA,NA
Hero,Zachary Smith,"Zack Smith, Microbe",NA,New Warriors,American,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Matthew Moy,NA,New Warriors (unreleased),NA,NA
Villain,Debbie,NA,Doctor,HYDRA*Centipede Project,American,NA,2013,Human,Female,Deceased,NA,NA,NA,NA,NA,Shannon Lucio,NA,Agents of S.H.I.E.L.D.*Pilot*Girl in the Flower Dress*The Bridge (photograph),NA,NA
Hero,Miek,NA,NA,Sakaaran Rebellion,Sakaaran (formely) Asgardian,NA,NA,Sakaaran,Male,Alive,NA,NA,NA,"Thor: Ragnarok, Avengers: Endgame",NA,Stephen Murdoch (on-set),NA,NA,NA,NA
Villain,Willis Stryker,"Diamondback, Snake, Luke Cage, Cat With a Hoodie, Willie, Death, Slippery Son of a Bitch, Rattlesnake, Pimp Stormtrooper, Angel of Death, Diamond Jim",NA,Lieber Academy (formerly),American,1978,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,"Erik La, Ray Harvey, Jared Kemp (young)",NA,Jessica Jones (mentioned)Luke Cage (7 episodes)The Defenders (mentioned),NA,NA
Hero,Craig Hollis,Mister Immortal,NA,New Warriors,American,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,"Derek Theler, Finnegan George (young)",NA,New Warriors (unreleased),NA,NA
Villain,Dormammu,"The One, The Cosmic Conqueror, The Intent of All Evolution, The Why of All Existence, The Destroyer of Worlds, The Savior of Worlds, Astral World's Worst Killer",NA,Zealots (formerly),Dark Dimension,NA,NA,Faltine,Male,Alive,NA,Doctor Strange Prelude - The Zealot (glyph)Avengers: Infinity War Prelude (mentioned),NA,Doctor Strange,NA,Benedict Cumberbatch,NA,NA,NA,NA
Hero,Mercedes Kelly Knight,"Misty Knight, Horton, Miss Daisy, Curandera, Baby Girl, Misguided Beat Cop, The Visualist, Trick, Iyanla Knight, The Short Arm of the Law, Private Ryan, Ripley, Sarah Connor, Robocop, Bullshit Tin Man from The Wiz, Legitimate Champion, Crip Raggedy Ann, Captain Misty, One-Armed Detective",Detective,DeWitt Clinton High School (formerly) NYPD,American,1984-1985[1],NA,Human (Cyborg),Female,Alive,NA,NA,NA,NA,NA,Simone Missick,NA,Luke Cage (26 episodes)Iron Fist (7 episodes)The Defenders (6 episodes)Cloak & Dagger (mentioned),NA,NA
Villain,NA,"Dorothy Underwood, Dottie Underwood, Ida Emke, Dot, Iowa, Tony Zale",NA,Red Room (formerly)Leviathan (formerly),Soviet,1927[1],NA,Human,Female,Unknown,NA,NA,NA,NA,NA,"Bridget Regan, Veronika Bonell (young)",NA,Agent Carter (10 episodes),NA,NA
Hero,Molly Hayes Hernandez,"Molls, Mia, Maria, Little Kitty Cat, Codebreaker, Monster, Muñeca[1]Hermanita[2]Little Miss Molly, Girl With Glowing Eyes",NA,Atlas Academy (formerly)Runaways,American,January 2003[3],NA,Human,Female,Alive,NA,NA,NA,NA,NA,"Allegra Acosta, Evelyn Angelos (young)",NA,Runaways (23 episodes),NA,NA
Villain,Douglas Scott,NA,NA,NA,South African,NA,NA,Human,Male,Alive,NA,Black Panther Prelude,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Nakia,NA,Head of the Social Outreach Department,River TribeWar DogsWakandan International Outreach Centre,Wakandan,NA,NA,Human,Female,Alive,NA,NA,NA,Black Panther,NA,"Lupita Nyong'o, Lidya Jewett (young)",NA,NA,NA,NA
Villain,Dutton,Kingpin,NA,NA,American,NA,"November 17, 2015",Human,Male,Deceased,NA,NA,NA,NA,NA,William Forsythe,NA,Daredevil *Seven Minutes in Heaven,NA,NA
Hero,Nebula,"Daughter of Thanos, Evil Step-Sister, Evil Supervillain, Baldy, Psychopath, Biggest Sadist in the Galaxy, Smurfette, Blue Meanie, Blue",NA,Guardians of the Galaxy Avengers (formerly),NA,NA,2023 (time-traveled self from 2014),Luphomoid (Cyborg),Female,Alive (original self)Deceased (time-traveled self from 2014),NA,"Guardians of the Galaxy Prelude, Guardians of the Galaxy Vol. 2 Prelude, Avengers: Endgame Prelude",NA,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2Avengers: Infinity War, Avengers: Endgame, Guardians of the Galaxy Vol. 3 (unreleased)[1]",NA,Karen Gillan,NA,NA,NA,NA
Villain,Ebony Maw,"Maw, Squidward",NA,Black Order,NA,NA,Spring 2018 (original self)October 2023 (time-traveled version from 2014),NA,Male,Deceased,NA,Avengers: Endgame Prelude,NA,"Guardians of the Galaxy (indirectly mentioned)Avengers: Infinity War, Avengers: Endgame",NA,Tom Vaughan-Lawlor,NA,NA,NA,NA
Hero,Nicholas Joseph Fury,"Nick Fury, The Spy, America's Top Spy, Foxtrot100% Red-Blooded Earth Man, Jacob Veech, Pickpocket Director, Slick Rick, The Most Paranoid and Dangerous Man on the Planet",Colonel (formerly)CIA Agent (formerly)Agent of S.H.I.E.L.D. (formerly)Director of S.H.I.E.L.D. (formerly),United States Army (formerly) CIA (formerly) S.H.I.E.L.D. (formerly)Nick Fury's Crew,American,"July 4, 1950",Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Male,Alive,Level 10 (formerly),"Iron Man: Security Measures, The Incredible Hulk: The Fury Files, Nick Fury: Spies Like Us, Iron Man: I Am Iron Man!Iron Man 2: Nick Fury: Director of S.H.I.E.L.D.Iron Man 2: Public Identity, Iron Man 2: Phil Coulson: Agent of S.H.I.E.L.D.Iron Man 2: Black Widow: Agent of S.H.I.E.L.D.The Avengers Prelude: Fury's Big Week, The Avengers Prelude: Black Widow Strikes, The Avengers: The Avengers Initiative, Iron Man 2 Adaptation, Thor Adaptation (mentioned)Thor: The Dark World Prelude, Captain America: The First Avenger Adaptation, Captain America: Homecoming (mentioned)The Avengers Adaptation, Avengers: Age of Ultron Prelude - This Scepter'd Isle (mentioned)Captain America: Civil War Prelude, Captain America: Road to War (mentioned)Thor: Ragnarok Prelude (mentioned)Captain Marvel Prelude",Iron Man 2Captain America: The Winter Soldier - The Official Game,"Iron Man (post-credits scene)The Incredible Hulk (mentioned)Iron Man 2Thor (post-credits scene)Captain America: The First Avenger, The Avengers, Captain America: The Winter Soldier, Avengers: Age of Ultron, Avengers: Infinity War (post-credits scene)Captain Marvel, Avengers: Endgame, Spider-Man: Far From Home (post-credits scene)",NA,Samuel L. Jackson,A 07458876,Agents of S.H.I.E.L.D. (2 episodes),NA,Team Thor (drawing)
Villain,Edison Po,"The Specialist, Walking Mugshot, Number One Draft Pick",NA,United States Marine Corps (formerly) HYDRA*Centipede Project,American,NA,2013,Human,Male,Deceased,NA,NA,NA,NA,NA,Cullen Douglas,NA,Agents of S.H.I.E.L.D. (3 episodes),NA,NA
Hero,Nico Minoru,"Hermione, Not The One, Witch, Witch With a Magic Stick, Cabrona Prejuiciosa[1]Wicked Witch of the West, Little Witch, Some Kind of Wizard",NA,Atlas Academy (formerly)Runaways,American,Early 2001[2][3][4][5],NA,Human,Female,Alive,NA,NA,NA,NA,NA,Lyrica Okano,NA,Runaways (23 episodes),NA,NA
Villain,Ego,"The Living Planet, Angel, Jackass, Spaceman, Little Man, Little One Inch Man, David Hasselhoff, The Alien, The Sailors (with Peter Quill)The Sea, Weird Dumb Planet",NA,NA,NA,NA,October 2014,Celestial,Male,Deceased,NA,Guardians of the Galaxy Vol. 2 Prelude (mentioned)Avengers: Endgame Prelude (mentioned),NA,Guardians of the Galaxy (mentioned)Guardians of the Galaxy Vol. 2Avengers: Infinity War (mentioned),NA,"Kurt Russell, Aaron Schwartz (younger self; body double)David Hasselhoff (alternative form)",NA,NA,NA,NA
Hero,Dwayne Taylor,Night Thrasher,NA,New Warriors,American,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,"Jeremy Tardy, Christopher Farrar (young)",NA,New Warriors (unreleased),NA,NA
Villain,Elektra Natchios (adoptive name),"The Greek Girl, Sweetheart, Ellie, Louise Badeaux, Black Sky, Vessel, Woman with the Swords, The Ultimate Weapon of the Hand, Chick in the Spandex",NA,Chaste (formerly)Columbia University (formerly)Hand,Greek,NA,November 2015 (later resurrected),Human,Female,Unknown,NA,NA,NA,NA,NA,"Élodie Yung, Lily Chee (young)",NA,Daredevil (10 episodes)The Defenders (8 episodes),NA,NA
Hero,Noah,NA,Anthropologist,NA,NA,NA,2017,Chronicom,None (masculine appearance & voice),Deceased,NA,NA,NA,NA,NA,Joel David Moore,NA,Agents of S.H.I.E.L.D.*All the Comforts of Home*The Real Deal (mentioned),NA,NA
Villain,Elias Morrow,"Eli Morrow, Tío, Petty Thief",NA,Momentum Labs (formerly)Chinatown Crew,American,NA,NA,Human,Male,Deceased,NA,NA,NA,NA,NA,José Zúñiga,NA,Agents of S.H.I.E.L.D. (5 episodes),NA,NA
Hero,Odin Borson,"Allfather, Odin Allfather, The Most Powerful Being in the Nine Realms, The King, Protector of the Nine Realms, King of the Gods",Prince of Asgard (formerly)King of Asgard (formerly)God of War and Wisdom,Asgardian Royal Family,Asgardian,NA,Late 2017,Asgardian,Male,Deceased,NA,"Captain America: First Vengeance, Thor, The Mighty Avenger (mentioned)The Avengers: The Avengers Initiative (mentioned)Thor Adaptation, Thor: The Dark World Prelude, Thor: Crown of Fools (mentioned)Thor: Ragnarok Prelude, Avengers: Infinity War Prelude (mentioned)Avengers: Endgame Prelude (mentioned)",Thor: God of ThunderThor: The Dark World - The Official Game,"Thor, Captain America: The First Avenger (mentioned & illustration)The Avengers (mentioned)Thor: The Dark World, Avengers: Age of Ultron (mentioned)Doctor Strange (mentioned)Spider-Man: Homecoming (mentioned)Thor: Ragnarok Avengers: Infinity War (mentioned)Avengers: Endgame (mentioned)",NA,Anthony Hopkins,NA,Agents of S.H.I.E.L.D. (mentioned),"Tom Kane, Scott Rayow",NA
Villain,Eliza Schultz,"Mom, Bitch Wife",NA,Testament Industries,American,NA,May 2018,Human,Female,Deceased,NA,NA,NA,NA,NA,Annette O'Toole,NA,The Punisher (4 episodes),NA,NA
Hero,Okoye,Chickadee,General,Border Tribe Dora Milaje Avengers (formerly),Wakandan,NA,NA,Human,Female,Alive,NA,"Black Panther Prelude, Avengers: Endgame Prelude",NA,"Black Panther Avengers: Infinity War, Avengers: Endgame, Black Panther 2 (unreleased)[1]",NA,Danai Gurira,NA,NA,NA,NA
Villain,Ellen Brandt,Hot Wings,NA,United States Army A.I.M.,American,NA,"December 23, 2012",Human,Female,Deceased,NA,NA,Iron Man 3 - The Official Game (Java storyline only),Iron Man 3,NA,Stephanie Szostak,NA,NA,NA,NA
Hero,Old Lace,"Monster, Prehistoric Guard Dog, Bigfoot, Bloodthirsty Dinosaur, Hedgehog, Girl, Lace, Abbott, Harpo, Emotional Support Dinosaur, Godzilla, Pet Dinosaur, Guard-Dino, Lacey-Wacey, Guard Dog, Oversized Iguana, Lacey",NA,Runaways,NA,NA,NA,Deinonychus,Female,Alive,NA,NA,NA,NA,NA,NA,NA,Runaways (20 episodes),NA,NA
Villain,Ellen Nadeer,"Anti-Inhuman Hatemonger, Public Inhuman Hater #1",Senator,United States Congress*Finance CommitteeHumans First Movement,American,NA,April 2017[1],Human,Female,Deceased,NA,NA,NA,NA,NA,Parminder Nagra,NA,Agents of S.H.I.E.L.D. (5 episodes),NA,NA
Hero,Jeffrey Mace,"Patriot, Jeff, Monster, Hero of Vienna, The Next Captain America, Head Coach, Quarterback, Team Mascot, Blocker, Terrorist, Thug",Director of S.H.I.E.L.D.,International Affairs (formerly) S.H.I.E.L.D. S.H.I.E.L.D. (Framework),American,NA,May 2017,HumanInhuman (Framework),Male,Deceased,Level Platinum,NA,NA,NA,NA,Jason O'Mara,NA,Agents of S.H.I.E.L.D. (14 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (1 episode)
Villain,Eric Savin,"Iron Patriot, Colonel Rhodes, Shifty Character, Westworld",Lieutenant Colonel (formerly),United States Army (formerly) A.I.M.,American,NA,"December 24, 2012",Human,Male,Deceased,NA,Captain America: Civil War Prelude,Iron Man 3 - The Official Game (Java storyline only),Iron Man 3,NA,James Badge Dale,NA,NA,NA,NA
Hero,Margaret Elizabeth Carter,"Peggy Carter, Peg, Agent 13Eva, Queen Victoria, Your Majesty, Captain America's Old Flame, English, England, Ruth Barton, Marge, Miss Union Jack, Rocky Graziano, The Lone Ranger, Miss Wendy, Wanda, Doctor Katherine Wexford, Moe, Captain America's Liaison",Agent of SSR (formerly)Agent of S.H.I.E.L.D. (formerly)Director of S.H.I.E.L.D. (formerly),Special Operations Executive (formerly) British Armed Forces (formerly) MI5 (formerly) SSR (formerly) S.H.I.E.L.D. (formerly),British English,"April 9, 1921","June 18, 2016",Human,Female,Deceased,NA,"Captain America: First Vengeance, Captain America: The First Avenger Adaptation, The Avengers Adaptation (flashback)Ant-Man Prelude, Captain America: Civil War Prelude, Ant-Man and the Wasp Prelude (flashback)",Captain America: Super Soldier,"Captain America: The First Avenger, The Avengers (file)Captain America: The Winter Soldier, Avengers: Age of Ultron (illusion)Ant-Man Captain America: Civil War (picture)Avengers: Endgame",Agent Carter,"Hayley Atwell, Gabriella Graves (young)",NA,Agents of S.H.I.E.L.D. (3 episodes)Agent Carter (18 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (mentioned)
Villain,N'Jadaka (birth name)Erik Stevens (legal name),"Killmonger, Boy, Charlatan, Outsider, Crazy American, American Black Operative, Son of Prince N'Jobu, Descendant of N'Jobu, Monster, New King","King of Wakanda, Black Panther",United States Naval Academy (formerly) MIT (formerly) United States Navy SEALs (formerly)Golden TribeTribal Council,American Wakandan,NA,July 2016,Human,Male,Deceased,NA,NA,NA,Black Panther,NA,"Michael B. Jordan, Seth Carr (young)",NA,NA,NA,NA
Hero,Virginia Potts,"Pepper Potts, Pep, Pinhead, Second Rate Jumped Up Amazon Secretary",CEO of Stark Industries,Stark Industries,American,February[1],NA,Human,Female,Alive,NA,"Iron Man: Fast Friends, Iron Man: Security Measures, Iron Man: I Am Iron Man!Iron Man: Will Online Evils Prevail?Iron Man 2: Nick Fury: Director of S.H.I.E.L.D.Iron Man 2: Public Identity, Iron Man: Limited Edition, Iron Man 2: Black Widow: Agent of S.H.I.E.L.D.Iron Man 2: Fist of Iron, The Avengers: Iron Man Mark VIIIron Man 2 Adaptation, Iron Man 3 Prelude, The Avengers Adaptation, Avengers: Operation HYDRACaptain America: Civil War Prelude, Captain Marvel Prelude (mentioned)Avengers: Endgame Prelude",Iron ManIron Man 2Iron Man 3 - The Official Game,"Iron Man, Iron Man 2The Avengers, Iron Man 3Avengers: Age of Ultron (mentioned)Captain America: Civil War (mentioned)Spider-Man: Homecoming, Avengers: Infinity War, Avengers: Endgame, Spider-Man: Far From Home (mentioned)",All Hail the King (picture),Gwyneth Paltrow,NA,Agents of S.H.I.E.L.D. (mentioned),"Careth Eaton, Meredith Monroe, Khristine Hvam, Eliza Schneider",NA
Villain,Ernest Vigman,NA,NA,NA,American,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Keith David,NA,New Warriors (unreleased),NA,NA
Hero,Phillip J. Coulson,"Phil Coulson, Rookie, New Guy, Rook, Son of Coul, A.C.Boss, Charm School, Zombie Robot, Theo Tittle, Pablo Jiménez, Avenger, Charles Martin, O Captain! My Captain!Man With The Plan, Robot Hand, Head of S.H.I.E.L.D.Cowboy, Sean Lundwall, Eric Greene, The Odd Couple (with Glenn Talbot)Lancelot, Jamie Flugelman (Framework)Ghost Rider, Inspector Gadget, Wingnut, Sherlock, Real Deal, Humanity's Shield, One of Earth's Mightiest Heroes, Fallen Hero, Wingman, Hot Lips, Former Boss, Dedicated Agent, Old Friend Coulson, Impostor, Synth, Shapeshifter, Dream, Dead Coulson Guy, Coulson Guy, The Best",Agent of S.H.I.E.L.D. (formerly)Director of S.H.I.E.L.D. (formerly)Agent of S.H.I.E.L.D. (Framework; formerly),S.H.I.E.L.D. (formerly)*Project T.A.H.I.T.I. (formerly)*Coulson's Team (formerly)*Theta Protocol (formerly) ATCU (formerly)Framework*Alexander Pierce High School (formerly)* S.H.I.E.L.D. (formerly),American,"July 8, 1964","May 4, 2012 (later resurrected)Mid-2018",Human (Cyborg),Male,Deceased,Level 8 (formerly)Level Blue (formerly),"Iron Man: Fast Friends, Iron Man: Security Measures, The Incredible Hulk: The Fury Files, Iron Man: I Am Iron Man!Iron Man 2: Public Identity, Iron Man 2: Phil Coulson: Agent of S.H.I.E.L.D.Iron Man 2: Black Widow: Agent of S.H.I.E.L.D.The Avengers Prelude: Fury's Big Week, The Avengers Prelude: Black Widow Strikes, Iron Man 3 Prelude, Thor Adaptation, Thor: The Dark World Prelude, Agents of S.H.I.E.L.D.: The Chase, The Avengers Adaptation, Captain Marvel Prelude (indirectly mentioned)",Captain America: The Winter Soldier - The Official Game (indirectly mentioned),"Iron Man, Iron Man 2Thor, The Avengers Avengers: Age of Ultron (indirectly mentioned)Captain Marvel",The ConsultantA Funny Thing Happened on the Way to Thor's HammerItem 47 (mentioned),Clark Gregg,SKJ 08U7342,Agents of S.H.I.E.L.D. (123 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (1 episode)
Villain,Ernst Kaufmann,Graf Von Kaufmann,"Graf, Gruppenführer",Sturmabteilung,Nazi German,NA,"June 30, 1934[1]",Human,Male,Deceased,NA,Captain America: First Vengeance,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Francis David Castle Sr.,"Frank Castle, The Punisher, Killdozer, Dumbass with a Gun, War Hero, The Big Bad Punisher, Franky Boy, Boss, Bloody Shooter, Dirty Bastard, Pete Castiglione, The Gimp, Retard, Window Licker, Cool Hand Luke, Secret Badass, Captain Batshit, Hipster, The Dead Man, Bad Santa, The War Whisperer, Santana, Raven, Revenant, Charles Bronson, Real Prick Asshole, Frankie, Psychopathic Terrorist, The Most Wanted Man in New York, Grim Reaper, Cold Blooded Psychopath, Couple of Assholes (with Jigsaw)Rough Road, Shitbird, The Man at the Bar, Dog Let off the Leash, Some Strange Man, Jarhead, The Devil, Death, Marine, The Third Man at the Carousel, The Guy With the Skull on his Vest, Jake Nelson, O'Rourke, The Whirlwind, Murdering Bastard",Lieutenant (formerly)Scout Sniper (formerly),United States Marine Corps (formerly)*Cerberus Squad (formerly),American,November 15th,NA,Human,Male,Alive,NA,NA,NA,NA,NA,Jon Bernthal,NA,Daredevil (12 episodes)Luke Cage (mentioned)The Punisher (26 episodes),NA,NA
Villain,Ernst Mueller,NA,Colonel (formerly),Wehrmacht (formerly),Nazi German,NA,"April 23, 1946",Human,Male,Deceased,NA,NA,NA,NA,NA,Jack Conley,NA,Agent Carter*The Blitzkrieg Button*The Iron Ceiling (mentioned),NA,NA
Hero,Daisy Johnson,"Quake, Skye, Mary Sue Poots, Wide-Eyed Little Freshman, Kidnap Victim, DRookie, Doctor Nugent, Agent Melinda May, Angel-Eyes, TremorsСестра[1]Jacqueline Rippon, Shake'n Bake (with Lincoln Campbell)Flower, Chickadee, Detective, Little Miss Richter Scale, Agent Quake, Destroyer of Worlds, Sweetheart, Sinara Smith, Daughter of a Monarch, Princess, Omega Daisy, Ashlyn, Hacker, Kid, Swazzy Daisy","0-8-4""Hacktivist""Agent of S.H.I.E.L.D. Field Agent, Director of S.H.I.E.L.D. (formerly)",Rising Tide (formerly) S.H.I.E.L.D. Coulson's Team (formerly) Secret Warriors (formerly)Framework HYDRA (unknowingly; formerly) S.H.I.E.L.D. (formerly),American,"July 2, 1988",NA,Inhuman,Female,Alive,Level 1 (formerly)Level Blue (formerly),Agents of S.H.I.E.L.D.: The Chase,NA,NA,NA,Chloe Bennet,52-738-ST-27,Agents of S.H.I.E.L.D. (122 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (3 episodes)
Villain,Escobar,NA,NA,CIA (formerly),American,NA,NA,Human,Male,Alive,NA,Nick Fury: Spies Like Us,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Pietro Maximoff,"Quicksilver, Quick Little Bastard, The Enhanced  (with Wanda Maximoff)The Twins (with Wanda Maximoff)Something Too Fast To See, Strucker's Prized Pupils (with Scarlet Witch)",NA,HYDRA (formerly) Avengers,Sokovian,NA,May 2015,Human,Male,Deceased,NA,"Avengers: Age of Ultron Prelude - This Scepter'd Isle, Captain America: Road to War (mentioned)Avengers: Infinity War Prelude (flashback)",NA,"Captain America: The Winter Soldier (mid-credits scene)Avengers: Age of Ultron, Captain America: Civil War (picture)",NA,Aaron Taylor-Johnson,NA,Agents of S.H.I.E.L.D. (mentioned),NA,NA
Villain,Espinoza,NA,NA,NA,NA,NA,NA,Human,Male,Deceased,NA,The Incredible Hulk: The Big Picture,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Ramonda,"Mama, Auntie",Queen of Wakanda (formerly) Queen Mother,Golden TribeTribal Council,Wakandan,NA,NA,Human,Female,Alive,NA,NA,NA,"Black Panther, Avengers: Endgame",NA,Angela Bassett,NA,NA,NA,NA
Villain,Eva Belyakov,NA,NA,NA,Russian,1973,2008,Inhuman,Female,Deceased,NA,NA,NA,NA,NA,Winter Ave Zoli,NA,Agents of S.H.I.E.L.D.*Repairs (mentioned)*Melinda*Scars (mentioned),NA,NA
Hero,Robert Gonzales,"The Love Boat Captain, Captain Ahab",Agent of S.H.I.E.L.D.Commander,S.H.I.E.L.D.,American,NA,"May 8, 2015",Human,Male,Deceased,NA,NA,NA,NA,NA,Edward James Olmos,NA,Agents of S.H.I.E.L.D. (5 episodes),NA,NA
Villain,Eva Belyakov,NA,NA,NA,Russian,NA,NA,Artificial Intelligence,Female,Deceased,NA,NA,NA,NA,NA,Winter Ave Zoli,NA,Agents of S.H.I.E.L.D.*Wake Up,NA,NA
Hero,89P13,"Rocket, Rat, Dog, Creepy Little Beast, The Biggest Idiots in the Galaxy (with Star-Lord, Groot and Drax)Rodent, Ranger Rick, Vermin, Hamster, The Greatest Pilot in The Universe, Dick, Trash Panda, Triangle-faced Monkey, Puppy, Fox, Little Rat, Professional Asshole, Crabby Puppy, The Baddest of Baddests, Stupid Fox, Rabboon, Raccoon, Procyon Lotor, Scruffy Dog, Talking Woodland Beast, Rabbit, Sweet Rabbit, Captain, Dad, Build-A-Bear, Fur-Face, Little Rascal, Ratchet",NA,Guardians of the Galaxy Avengers (formerly),NA,NA,NA,Halfworlder,Male,Alive,NA,"Guardians of the Galaxy Prequel Infinite Comic, Guardians of the Galaxy Prelude, Guardians of the Galaxy: Galaxy's Most Wanted, Guardians of the Galaxy Vol. 2 Prelude, Avengers: Infinity War Prelude (flashback)Avengers: Endgame Prelude",NA,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2Avengers: Infinity War, Avengers: Endgame, Guardians of the Galaxy Vol. 3 (unreleased)[1]",NA,Sean Gunn (on-set actor)Oreo (movement and behavior),NA,NA,Bradley Cooper,NA
Villain,Skurge,"Janitor, Smart Boy, Executioner",Guardian of the Bifrost Bridge (formerly)Executioner of Asgard (formerly),Einherjar (formerly),Asgardian,NA,Late 2017,Asgardian,Male,Deceased,NA,NA,NA,Thor: Ragnarok,NA,Karl Urban,NA,NA,NA,NA
Hero,Wanda Maximoff,"Scarlet Witch, The Twins (with Quicksilver)Little Witch, The Enhanced (with Quicksilver)Strucker's Prized Pupils (with Quicksilver)Weapon of Mass Destruction, Child",NA,HYDRA (formerly) Avengers (formerly),Sokovian,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Female,Alive,NA,"Avengers: Age of Ultron Prelude - This Scepter'd Isle, Captain America: Road to War, Spider-Man: Homecoming Prelude, Avengers: Infinity War Prelude, Captain Marvel Prelude (computer screen)Avengers: Endgame Prelude",NA,"Captain America: The Winter Soldier (mid-credits scene)Avengers: Age of Ultron, Captain America: Civil War, Avengers: Infinity War, Avengers: Endgame, Spider-Man: Far From Home (picture)Doctor Strange in the Multiverse of Madness (unreleased)",NA,Elizabeth Olsen,NA,Agents of S.H.I.E.L.D. (mentioned)WandaVision (unreleased),NA,WHiH Newsfront (footage)Team Thor (drawing)
Villain,Ezekiel Stane,Zeke Stane,NA,A.I.M.,American,NA,NA,Human,Male,Deceased,NA,NA,Iron Man 3 - The Official Game,NA,NA,NA,NA,NA,Tom Wayland,NA
Hero,Shang-Chi,NA,NA,NA,NA,NA,NA,Human,Male,Alive,NA,NA,NA,Shang-Chi and the Legend of the Ten Rings (unreleased),NA,Simu Liu,NA,NA,NA,NA
Villain,Faulnak,Most Trusted Messenger,NA,House of Kasius,Kree Imperial,NA,2091,Kree,Male,Deceased,NA,NA,NA,NA,NA,Samuel Roukin,NA,Agents of S.H.I.E.L.D. (2 episodes),NA,NA
Hero,Sharon Carter,"Agent 13Kate, The Nurse, Neighbor","CIA Agent, Agent of S.H.I.E.L.D. (formerly)",S.H.I.E.L.D. (formerly) CIA*Joint Counter Terrorist Centre,American,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Female,Alive,NA,"Captain America: Civil War Prelude, Spider-Man: Homecoming Prelude",NA,"Captain America: The Winter Soldier, Captain America: Civil War, Avengers: Endgame (picture)",NA,"Emily Van, Camp",NA,The Falcon and the Winter Soldier[1](unreleased),NA,NA
Villain,Felix Blake,Top Brass,Agent of S.H.I.E.L.D. (formerly),S.H.I.E.L.D. (formerly) Watchdogs,American,"March 12, 1961",NA,Human,Male,Alive,Level 7 (formerly),NA,NA,NA,Item 47,Titus Welliver,A 0973612[1],Agents of S.H.I.E.L.D. (3 episodes),NA,NA
Hero,Shuri,NA,"Princess of Wakanda, Head of the Science and Information Exchange",Golden TribeWakandan Design GroupWakandan International Outreach Centre,Wakandan,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Female,Alive,NA,"Avengers: Infinity War Prelude, Avengers: Endgame Prelude",NA,"Black Panther, Avengers: Infinity War Avengers: Endgame, Black Panther 2[1](unreleased)",NA,Letitia Wright,NA,NA,NA,NA
Villain,Felix Manning,"Fixer, Old English Dude, Fisk's Aide",NA,Red Lion National Bank,British English,NA,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,Joe Jones,NA,Daredevil  (7 episodes),NA,NA
